"datetime","home_team","home_team_state","away_team","away_team_state","home_goal","away_goal","season","round"
2012-07-08 18:30:00,"Sport-PE","PE","Corinthians-SP","SP",1,1,2012,8
2012-07-08 18:30:00,"Atletico-MG","MG","Portuguesa-SP","SP",2,0,2012,8
2012-07-14 18:30:00,"Figueirense-SC","SC","Atletico-MG","MG",3,4,2012,9
2012-07-14 18:30:00,"Corinthians-SP","SP","Nautico-PE","PE",2,1,2012,9
2012-07-14 21:00:00,"Ponte Preta-SP","SP","Coritiba-PR","PR",4,1,2012,9
2012-07-15 16:00:00,"Bahia-BA","BA","Flamengo-RJ","RJ",1,2,2012,9
2012-07-15 16:00:00,"Internacional-RS","RS","Santos-SP","SP",0,0,2012,9
2012-07-15 16:00:00,"Cruzeiro-MG","MG","Gremio-RS","RS",1,3,2012,9
2012-07-15 16:00:00,"Botafogo-RJ","RJ","Fluminense-RJ","RJ",1,1,2012,9
2012-07-15 18:30:00,"Palmeiras-SP","SP","Sao Paulo-SP","SP",1,1,2012,9
2012-07-15 18:30:00,"Vasco da Gama-RJ","RJ","Atletico-GO","GO",1,0,2012,9
2012-07-15 18:30:00,"Sport-PE","PE","Portuguesa-SP","SP",2,1,2012,9
2012-07-18 19:30:00,"Santos-SP","SP","Botafogo-RJ","RJ",0,0,2012,10
2012-07-18 19:30:00,"Gremio-RS","RS","Sport-PE","PE",3,1,2012,10
2012-07-18 20:30:00,"Portuguesa-SP","SP","Cruzeiro-MG","MG",0,2,2012,10
2012-07-18 20:30:00,"Nautico-PE","PE","Ponte Preta-SP","SP",3,0,2012,10
2012-07-18 21:50:00,"Sao Paulo-SP","SP","Vasco da Gama-RJ","RJ",0,1,2012,10
2012-07-18 21:50:00,"Atletico-MG","MG","Internacional-RS","RS",3,1,2012,10
2012-07-18 21:50:00,"Flamengo-RJ","RJ","Corinthians-SP","SP",0,3,2012,10
2012-07-19 21:00:00,"Fluminense-RJ","RJ","Bahia-BA","BA",4,0,2012,10
2012-07-19 21:00:00,"Coritiba-PR","PR","Palmeiras-SP","SP",1,1,2012,10
2012-07-19 21:00:00,"Atletico-GO","GO","Figueirense-SC","SC",3,2,2012,10
2012-07-21 18:30:00,"Sport-PE","PE","Atletico-MG","MG",1,4,2012,11
2012-07-21 18:30:00,"Vasco da Gama-RJ","RJ","Santos-SP","SP",2,0,2012,11
2012-07-21 21:00:00,"Corinthians-SP","SP","Portuguesa-SP","SP",1,1,2012,11
2012-07-22 16:00:00,"Internacional-RS","RS","Atletico-GO","GO",4,1,2012,11
2012-07-22 16:00:00,"Cruzeiro-MG","MG","Flamengo-RJ","RJ",1,0,2012,11
2012-07-22 16:00:00,"Figueirense-SC","SC","Sao Paulo-SP","SP",0,2,2012,11
2012-07-22 16:00:00,"Palmeiras-SP","SP","Nautico-PE","PE",3,0,2012,11
2012-07-22 18:30:00,"Bahia-BA","BA","Coritiba-PR","PR",2,2,2012,11
2012-07-22 18:30:00,"Botafogo-RJ","RJ","Gremio-RS","RS",0,1,2012,11
2012-07-22 18:30:00,"Ponte Preta-SP","SP","Fluminense-RJ","RJ",1,2,2012,11
2012-07-25 19:30:00,"Figueirense-SC","SC","Internacional-RS","RS",0,1,2012,12
2012-07-25 19:30:00,"Ponte Preta-SP","SP","Sport-PE","PE",1,1,2012,12
2012-07-25 20:30:00,"Vasco da Gama-RJ","RJ","Botafogo-RJ","RJ",1,0,2012,12
2012-07-25 20:30:00,"Nautico-PE","PE","Coritiba-PR","PR",3,4,2012,12
2012-07-25 21:50:00,"Corinthians-SP","SP","Cruzeiro-MG","MG",2,0,2012,12
2012-07-25 21:50:00,"Gremio-RS","RS","Fluminense-RJ","RJ",1,0,2012,12
2012-07-25 21:50:00,"Atletico-GO","GO","Sao Paulo-SP","SP",4,3,2012,12
2012-07-26 21:00:00,"Atletico-MG","MG","Santos-SP","SP",2,0,2012,12
2012-07-26 21:00:00,"Flamengo-RJ","RJ","Portuguesa-SP","SP",0,0,2012,12
2012-07-26 21:00:00,"Palmeiras-SP","SP","Bahia-BA","BA",0,2,2012,12
2012-07-28 18:30:00,"Coritiba-PR","PR","Gremio-RS","RS",2,1,2012,13
2012-07-28 18:30:00,"Internacional-RS","RS","Vasco da Gama-RJ","RJ",0,0,2012,13
2012-07-28 21:00:00,"Botafogo-RJ","RJ","Figueirense-SC","SC",1,0,2012,13
2012-07-29 16:00:00,"Sport-PE","PE","Atletico-GO","GO",0,0,2012,13
2012-07-29 16:00:00,"Sao Paulo-SP","SP","Flamengo-RJ","RJ",4,1,2012,13
2012-07-29 16:00:00,"Fluminense-RJ","RJ","Atletico-MG","MG",0,0,2012,13
2012-07-29 16:00:00,"Bahia-BA","BA","Corinthians-SP","SP",0,0,2012,13
2012-07-29 18:30:00,"Cruzeiro-MG","MG","Palmeiras-SP","SP",2,1,2012,13
2012-07-29 18:30:00,"Portuguesa-SP","SP","Nautico-PE","PE",3,1,2012,13
2012-07-29 18:30:00,"Santos-SP","SP","Ponte Preta-SP","SP",2,1,2012,13
2012-08-04 18:30:00,"Palmeiras-SP","SP","Internacional-RS","RS",0,1,2012,14
2012-08-04 18:30:00,"Atletico-GO","GO","Botafogo-RJ","RJ",1,2,2012,14
2012-08-04 21:00:00,"Portuguesa-SP","SP","Figueirense-SC","SC",2,0,2012,14
2012-08-05 16:00:00,"Vasco da Gama-RJ","RJ","Corinthians-SP","SP",0,0,2012,14
2012-08-05 16:00:00,"Gremio-RS","RS","Bahia-BA","BA",3,1,2012,14
2012-08-05 16:00:00,"Coritiba-PR","PR","Fluminense-RJ","RJ",0,2,2012,14
2012-08-05 16:00:00,"Sao Paulo-SP","SP","Sport-PE","PE",1,0,2012,14
2012-08-05 18:30:00,"Cruzeiro-MG","MG","Ponte Preta-SP","SP",1,2,2012,14
2012-08-05 18:30:00,"Nautico-PE","PE","Santos-SP","SP",3,0,2012,14
2012-09-26 22:00:00,"Flamengo-RJ","RJ","Atletico-MG","MG",2,1,2012,14
2012-08-08 19:30:00,"Sport-PE","PE","Vasco da Gama-RJ","RJ",0,2,2012,15
2012-08-08 19:30:00,"Internacional-RS","RS","Nautico-PE","PE",0,0,2012,15
2012-08-08 20:30:00,"Bahia-BA","BA","Portuguesa-SP","SP",0,0,2012,15
2012-08-08 20:30:00,"Corinthians-SP","SP","Atletico-GO","GO",1,1,2012,15
2012-08-08 21:50:00,"Santos-SP","SP","Cruzeiro-MG","MG",4,2,2012,15
2012-08-08 21:50:00,"Figueirense-SC","SC","Flamengo-RJ","RJ",0,2,2012,15
2012-08-08 21:50:00,"Botafogo-RJ","RJ","Palmeiras-SP","SP",1,2,2012,15
2012-08-09 21:00:00,"Fluminense-RJ","RJ","Sao Paulo-SP","SP",2,1,2012,15
2012-08-09 21:00:00,"Atletico-MG","MG","Coritiba-PR","PR",1,0,2012,15
2012-08-09 21:00:00,"Ponte Preta-SP","SP","Gremio-RS","RS",0,0,2012,15
2012-08-11 18:30:00,"Sport-PE","PE","Figueirense-SC","SC",0,1,2012,16
2012-08-11 18:30:00,"Bahia-BA","BA","Cruzeiro-MG","MG",0,1,2012,16
2012-08-11 18:30:00,"Santos-SP","SP","Atletico-GO","GO",2,2,2012,16
2012-08-11 21:00:00,"Flamengo-RJ","RJ","Nautico-PE","PE",2,0,2012,16
2012-08-12 16:00:00,"Internacional-RS","RS","Ponte Preta-SP","SP",2,1,2012,16
2012-08-12 16:00:00,"Sao Paulo-SP","SP","Gremio-RS","RS",1,2,2012,16
2012-08-12 16:00:00,"Atletico-MG","MG","Vasco da Gama-RJ","RJ",1,0,2012,16
2012-08-12 16:00:00,"Coritiba-PR","PR","Corinthians-SP","SP",1,2,2012,16
2012-08-12 18:30:00,"Fluminense-RJ","RJ","Palmeiras-SP","SP",1,0,2012,16
2012-08-12 18:30:00,"Portuguesa-SP","SP","Botafogo-RJ","RJ",1,1,2012,16
2012-08-15 19:30:00,"Gremio-RS","RS","Portuguesa-SP","SP",1,2,2012,17
2012-08-15 19:30:00,"Cruzeiro-MG","MG","Fluminense-RJ","RJ",1,1,2012,17
2012-08-15 20:30:00,"Atletico-GO","GO","Atletico-MG","MG",1,1,2012,17
2012-08-15 20:30:00,"Ponte Preta-SP","SP","Bahia-BA","BA",0,2,2012,17
2012-08-15 21:50:00,"Nautico-PE","PE","Sao Paulo-SP","SP",3,0,2012,17
2012-08-15 21:50:00,"Botafogo-RJ","RJ","Sport-PE","PE",2,0,2012,17
2012-08-15 21:50:00,"Palmeiras-SP","SP","Flamengo-RJ","RJ",1,0,2012,17
2012-08-16 21:00:00,"Vasco da Gama-RJ","RJ","Coritiba-PR","PR",2,2,2012,17
2012-08-16 21:00:00,"Corinthians-SP","SP","Internacional-RS","RS",1,0,2012,17
2012-08-16 21:00:00,"Figueirense-SC","SC","Santos-SP","SP",1,3,2012,17
2012-08-18 18:30:00,"Nautico-PE","PE","Bahia-BA","BA",1,0,2012,18
2012-08-18 18:30:00,"Fluminense-RJ","RJ","Sport-PE","PE",1,0,2012,18
2012-08-18 21:00:00,"Sao Paulo-SP","SP","Ponte Preta-SP","SP",3,0,2012,18
2012-08-19 16:00:00,"Santos-SP","SP","Corinthians-SP","SP",3,2,2012,18
2012-08-19 16:00:00,"Atletico-MG","MG","Botafogo-RJ","RJ",3,2,2012,18
2012-08-19 16:00:00,"Coritiba-PR","PR","Cruzeiro-MG","MG",4,0,2012,18
2012-08-19 16:00:00,"Gremio-RS","RS","Figueirense-SC","SC",4,0,2012,18
2012-08-19 18:30:00,"Atletico-GO","GO","Palmeiras-SP","SP",2,1,2012,18
2012-08-19 18:30:00,"Portuguesa-SP","SP","Internacional-RS","RS",1,1,2012,18
2012-08-19 18:30:00,"Flamengo-RJ","RJ","Vasco da Gama-RJ","RJ",1,0,2012,18
2012-08-25 18:30:00,"Vasco da Gama-RJ","RJ","Fluminense-RJ","RJ",1,2,2012,19
2012-08-25 18:30:00,"Palmeiras-SP","SP","Santos-SP","SP",1,2,2012,19
2012-08-25 21:00:00,"Ponte Preta-SP","SP","Portuguesa-SP","SP",2,1,2012,19
2012-08-26 16:00:00,"Internacional-RS","RS","Gremio-RS","RS",0,1,2012,19
2012-08-26 16:00:00,"Botafogo-RJ","RJ","Flamengo-RJ","RJ",0,0,2012,19
2012-08-26 16:00:00,"Corinthians-SP","SP","Sao Paulo-SP","SP",1,2,2012,19
2012-08-26 16:00:00,"Figueirense-SC","SC","Coritiba-PR","PR",3,1,2012,19
2012-08-26 18:30:00,"Cruzeiro-MG","MG","Atletico-MG","MG",2,2,2012,19
2012-08-26 18:30:00,"Sport-PE","PE","Nautico-PE","PE",0,0,2012,19
2012-08-26 18:30:00,"Bahia-BA","BA","Atletico-GO","GO",1,1,2012,19
2012-08-29 19:30:00,"Coritiba-PR","PR","Internacional-RS","RS",1,0,2012,20
2012-08-29 19:30:00,"Santos-SP","SP","Bahia-BA","BA",1,3,2012,20
2012-08-29 20:30:00,"Nautico-PE","PE","Figueirense-SC","SC",3,2,2012,20
2012-08-29 20:30:00,"Atletico-MG","MG","Ponte Preta-SP","SP",2,2,2012,20
2012-08-29 20:30:00,"Portuguesa-SP","SP","Palmeiras-SP","SP",3,0,2012,20
2012-08-29 22:00:00,"Fluminense-RJ","RJ","Corinthians-SP","SP",1,1,2012,20
2012-08-29 22:00:00,"Gremio-RS","RS","Vasco da Gama-RJ","RJ",2,0,2012,20
2012-08-29 22:00:00,"Atletico-GO","GO","Cruzeiro-MG","MG",0,2,2012,20
2012-08-30 21:00:00,"Flamengo-RJ","RJ","Sport-PE","PE",1,1,2012,20
2012-08-30 21:00:00,"Sao Paulo-SP","SP","Botafogo-RJ","RJ",4,0,2012,20
2012-09-01 18:30:00,"Palmeiras-SP","SP","Gremio-RS","RS",0,0,2012,21
2012-09-01 18:30:00,"Figueirense-SC","SC","Fluminense-RJ","RJ",2,2,2012,21
2012-09-01 21:00:00,"Vasco da Gama-RJ","RJ","Portuguesa-SP","SP",2,0,2012,21
2012-09-02 16:00:00,"Bahia-BA","BA","Sao Paulo-SP","SP",1,0,2012,21
2012-09-02 16:00:00,"Sport-PE","PE","Santos-SP","SP",2,1,2012,21
2012-09-02 16:00:00,"Internacional-RS","RS","Flamengo-RJ","RJ",4,1,2012,21
2012-09-02 16:00:00,"Corinthians-SP","SP","Atletico-MG","MG",1,0,2012,21
2012-09-02 18:30:00,"Botafogo-RJ","RJ","Coritiba-PR","PR",2,0,2012,21
2012-09-02 18:30:00,"Cruzeiro-MG","MG","Nautico-PE","PE",3,0,2012,21
2012-09-02 18:30:00,"Ponte Preta-SP","SP","Atletico-GO","GO",3,1,2012,21
2012-09-05 19:30:00,"Flamengo-RJ","RJ","Ponte Preta-SP","SP",0,1,2012,22
2012-09-05 19:30:00,"Portuguesa-SP","SP","Coritiba-PR","PR",3,0,2012,22
2012-09-05 19:30:00,"Nautico-PE","PE","Vasco da Gama-RJ","RJ",1,1,2012,22
2012-09-05 19:30:00,"Bahia-BA","BA","Atletico-MG","MG",0,0,2012,22
2012-09-05 20:30:00,"Gremio-RS","RS","Atletico-GO","GO",2,1,2012,22
2012-09-05 22:00:00,"Figueirense-SC","SC","Corinthians-SP","SP",1,0,2012,22
2012-09-05 22:00:00,"Cruzeiro-MG","MG","Botafogo-RJ","RJ",1,3,2012,22
2012-09-05 22:00:00,"Sao Paulo-SP","SP","Internacional-RS","RS",1,1,2012,22
2012-09-06 21:00:00,"Fluminense-RJ","RJ","Santos-SP","SP",3,1,2012,22
2012-09-06 21:00:00,"Palmeiras-SP","SP","Sport-PE","PE",3,1,2012,22
2012-09-08 18:30:00,"Ponte Preta-SP","SP","Figueirense-SC","SC",2,2,2012,23
2012-09-08 18:30:00,"Coritiba-PR","PR","Flamengo-RJ","RJ",3,0,2012,23
2012-09-08 21:00:00,"Corinthians-SP","SP","Gremio-RS","RS",3,1,2012,23
2012-09-09 16:00:00,"Botafogo-RJ","RJ","Nautico-PE","PE",3,1,2012,23
2012-09-09 16:00:00,"Santos-SP","SP","Sao Paulo-SP","SP",0,0,2012,23
2012-09-09 16:00:00,"Internacional-RS","RS","Fluminense-RJ","RJ",0,1,2012,23
2012-09-09 18:30:00,"Atletico-GO","GO","Portuguesa-SP","SP",1,1,2012,23
2012-09-09 18:30:00,"Atletico-MG","MG","Palmeiras-SP","SP",3,0,2012,23
2012-09-09 18:30:00,"Sport-PE","PE","Cruzeiro-MG","MG",2,1,2012,23
2012-09-09 18:30:00,"Vasco da Gama-RJ","RJ","Bahia-BA","BA",0,4,2012,23
2012-09-12 19:30:00,"Corinthians-SP","SP","Ponte Preta-SP","SP",1,1,2012,24
2012-09-12 19:30:00,"Portuguesa-SP","SP","Fluminense-RJ","RJ",0,2,2012,24
2012-09-12 19:30:00,"Figueirense-SC","SC","Cruzeiro-MG","MG",2,0,2012,24
2012-09-12 20:30:00,"Sport-PE","PE","Bahia-BA","BA",1,1,2012,24
2012-09-12 20:30:00,"Atletico-GO","GO","Coritiba-PR","PR",1,2,2012,24
2012-09-12 22:00:00,"Vasco da Gama-RJ","RJ","Palmeiras-SP","SP",3,1,2012,24
2012-09-12 22:00:00,"Santos-SP","SP","Flamengo-RJ","RJ",2,0,2012,24
2012-09-12 22:00:00,"Atletico-MG","MG","Sao Paulo-SP","SP",1,0,2012,24
2012-09-13 21:00:00,"Gremio-RS","RS","Nautico-PE","PE",2,0,2012,24
2012-09-13 21:00:00,"Botafogo-RJ","RJ","Internacional-RS","RS",1,1,2012,24
2012-09-15 18:30:00,"Fluminense-RJ","RJ","Atletico-GO","GO",1,2,2012,25
2012-09-15 18:30:00,"Sao Paulo-SP","SP","Portuguesa-SP","SP",3,1,2012,25
2012-09-16 16:00:00,"Palmeiras-SP","SP","Corinthians-SP","SP",0,2,2012,25
2012-09-16 16:00:00,"Cruzeiro-MG","MG","Vasco da Gama-RJ","RJ",1,1,2012,25
2012-09-16 16:00:00,"Coritiba-PR","PR","Santos-SP","SP",1,2,2012,25
2012-09-16 16:00:00,"Nautico-PE","PE","Atletico-MG","MG",1,0,2012,25
2012-09-16 16:00:00,"Bahia-BA","BA","Figueirense-SC","SC",2,1,2012,25
2012-09-16 18:30:00,"Flamengo-RJ","RJ","Gremio-RS","RS",1,1,2012,25
2012-09-16 18:30:00,"Internacional-RS","RS","Sport-PE","PE",2,2,2012,25
2012-09-16 18:30:00,"Ponte Preta-SP","SP","Botafogo-RJ","RJ",0,0,2012,25
2012-09-22 18:30:00,"Fluminense-RJ","RJ","Nautico-PE","PE",2,1,2012,26
2012-09-22 18:30:00,"Figueirense-SC","SC","Palmeiras-SP","SP",1,3,2012,26
2012-09-22 21:00:00,"Santos-SP","SP","Portuguesa-SP","SP",1,3,2012,26
2012-09-23 16:00:00,"Botafogo-RJ","RJ","Corinthians-SP","SP",2,2,2012,26
2012-09-23 16:00:00,"Sao Paulo-SP","SP","Cruzeiro-MG","MG",1,0,2012,26
2012-09-23 16:00:00,"Ponte Preta-SP","SP","Vasco da Gama-RJ","RJ",0,0,2012,26
2012-09-23 16:00:00,"Atletico-GO","GO","Flamengo-RJ","RJ",1,2,2012,26
2012-09-23 18:30:00,"Internacional-RS","RS","Bahia-BA","BA",3,1,2012,26
2012-09-23 18:30:00,"Atletico-MG","MG","Gremio-RS","RS",0,0,2012,26
2012-09-23 18:30:00,"Sport-PE","PE","Coritiba-PR","PR",1,0,2012,26
2012-09-29 18:30:00,"Nautico-PE","PE","Atletico-GO","GO",2,0,2012,27
2012-09-29 18:30:00,"Portuguesa-SP","SP","Atletico-MG","MG",1,1,2012,27
2012-09-29 18:30:00,"Vasco da Gama-RJ","RJ","Figueirense-SC","SC",3,1,2012,27
2012-09-29 18:30:00,"Cruzeiro-MG","MG","Internacional-RS","RS",0,0,2012,27
2012-09-29 21:00:00,"Palmeiras-SP","SP","Ponte Preta-SP","SP",3,0,2012,27
2012-09-30 16:00:00,"Flamengo-RJ","RJ","Fluminense-RJ","RJ",0,1,2012,27
2012-09-30 16:00:00,"Corinthians-SP","SP","Sport-PE","PE",3,0,2012,27
2012-09-30 16:00:00,"Coritiba-PR","PR","Sao Paulo-SP","SP",1,1,2012,27
2012-09-30 16:00:00,"Bahia-BA","BA","Botafogo-RJ","RJ",2,0,2012,27
2012-09-30 18:30:00,"Gremio-RS","RS","Santos-SP","SP",1,1,2012,27
2012-10-04 21:00:00,"Flamengo-RJ","RJ","Bahia-BA","BA",0,0,2012,28
2012-10-04 21:00:00,"Portuguesa-SP","SP","Sport-PE","PE",5,1,2012,28
2012-10-04 21:00:00,"Coritiba-PR","PR","Ponte Preta-SP","SP",1,0,2012,28
2012-10-06 16:00:00,"Sao Paulo-SP","SP","Palmeiras-SP","SP",3,0,2012,28
2012-10-06 16:20:00,"Atletico-GO","GO","Vasco da Gama-RJ","RJ",0,1,2012,28
2012-10-06 16:20:00,"Santos-SP","SP","Internacional-RS","RS",1,1,2012,28
2012-10-06 16:20:00,"Nautico-PE","PE","Corinthians-SP","SP",2,1,2012,28
2012-10-06 18:30:00,"Fluminense-RJ","RJ","Botafogo-RJ","RJ",1,0,2012,28
2012-10-06 18:30:00,"Gremio-RS","RS","Cruzeiro-MG","MG",2,1,2012,28
2012-10-06 18:30:00,"Atletico-MG","MG","Figueirense-SC","SC",6,0,2012,28
2012-10-10 19:30:00,"Botafogo-RJ","RJ","Santos-SP","SP",0,2,2012,29
2012-10-10 19:30:00,"Cruzeiro-MG","MG","Portuguesa-SP","SP",2,0,2012,29
2012-10-10 19:30:00,"Ponte Preta-SP","SP","Nautico-PE","PE",2,1,2012,29
2012-10-10 19:30:00,"Figueirense-SC","SC","Atletico-GO","GO",3,1,2012,29
2012-10-10 19:30:00,"Bahia-BA","BA","Fluminense-RJ","RJ",0,2,2012,29
2012-10-10 22:00:00,"Internacional-RS","RS","Atletico-MG","MG",3,0,2012,29
2012-10-10 22:00:00,"Vasco da Gama-RJ","RJ","Sao Paulo-SP","SP",0,2,2012,29
2012-10-10 22:00:00,"Corinthians-SP","SP","Flamengo-RJ","RJ",3,2,2012,29
2012-10-11 21:00:00,"Palmeiras-SP","SP","Coritiba-PR","PR",0,1,2012,29
2012-10-11 21:00:00,"Sport-PE","PE","Gremio-RS","RS",1,3,2012,29
