"round","datetime","home_team","away_team","home_goal","away_goal","season"
"2",2012-04-12 19:30:00,"Atlético - PR","Criciuma - SC",5,1,2012
"2",2012-04-05 21:50:00,"Atlético - GO","Ponte Preta - SP",2,1,2012
"2",2012-04-18 19:30:00,"Ponte Preta - SP","Atlético - GO",2,1,2012
"2",2012-04-11 20:30:00,"A.b.c. - RN","Vitória - BA",1,1,2012
"2",2012-04-18 21:50:00,"Vitória - BA","A.b.c. - RN",3,2,2012
"2",2012-04-11 20:30:00,"Penarol - AM","Atlético - MG",0,5,2012
"2",2012-04-11 22:00:00,"Bahia de Feira - BA","São Paulo - SP",2,5,2012
"2",2012-04-11 22:00:00,"Remo - PA","Bahia - BA",2,1,2012
"2",2012-04-19 19:30:00,"Bahia - BA","Remo - PA",4,0,2012
"2",2012-04-11 22:00:00,"Chapecoense - SC","Cruzeiro - MG",1,1,2012
"2",2012-04-18 21:50:00,"Cruzeiro - MG","Chapecoense - SC",4,1,2012
"2",2012-04-11 22:00:00,"Ceará - CE","Paraná - PR",2,2,2012
"2",2012-04-18 21:50:00,"Paraná - PR","Ceará - CE",1,1,2012
"2",2012-04-12 20:30:00,"Fortaleza - CE","Náutico - PE",4,0,2012
"2",2012-04-18 21:50:00,"Náutico - PE","Fortaleza - CE",2,1,2012
"3",2012-04-25 19:30:00,"Portuguesa - SP","Bahia - BA",0,0,2012
"3",2012-05-10 19:30:00,"Bahia - BA","Portuguesa - SP",2,0,2012
"3",2012-04-25 21:50:00,"Paraná - PR","Palmeiras - SP",1,2,2012
"3",2012-05-09 22:00:00,"Palmeiras - SP","Paraná - PR",4,0,2012
"3",2012-04-25 21:50:00,"Goiás - GO","Atlético - MG",2,0,2012
"3",2012-05-03 21:50:00,"Atlético - MG","Goiás - GO",2,1,2012
"3",2012-04-26 19:30:00,"Coritiba - PR","Paysandu - PA",4,1,2012
"3",2012-05-03 19:30:00,"Paysandu - PA","Coritiba - PR",0,1,2012
"3",2012-05-02 19:30:00,"Fortaleza - CE","Grêmio - RS",0,2,2012
"3",2012-05-09 22:00:00,"Grêmio - RS","Fortaleza - CE",2,0,2012
"3",2012-05-02 21:50:00,"Atlético - PR","Cruzeiro - MG",1,0,2012
"3",2012-05-09 22:00:00,"Cruzeiro - MG","Atlético - PR",1,2,2012
"3",2012-05-02 21:50:00,"Ponte Preta - SP","São Paulo - SP",1,0,2012
"3",2012-05-10 21:50:00,"São Paulo - SP","Ponte Preta - SP",3,1,2012
"3",2012-05-02 21:50:00,"Vitória - BA","Botafogo - RJ",1,1,2012
"3",2012-05-09 19:30:00,"Botafogo - RJ","Vitória - BA",1,2,2012
"4",2012-05-16 19:30:00,"Atlético - PR","Palmeiras - SP",2,2,2012
"4",2012-05-23 19:30:00,"Palmeiras - SP","Atlético - PR",2,0,2012
"4",2012-05-16 21:50:00,"São Paulo - SP","Goiás - GO",2,0,2012
"4",2012-05-23 22:00:00,"Goiás - GO","São Paulo - SP",2,2,2012
"4",2012-05-16 21:50:00,"Vitória - BA","Coritiba - PR",0,0,2012
"4",2012-05-23 22:00:00,"Coritiba - PR","Vitória - BA",4,1,2012
"4",2012-05-17 21:00:00,"Bahia - BA","Grêmio - RS",1,2,2012
"4",2012-05-24 21:00:00,"Grêmio - RS","Bahia - BA",2,0,2012
"5",2012-06-13 21:50:00,"Grêmio - RS","Palmeiras - SP",0,2,2012
"5",2012-06-21 21:00:00,"Palmeiras - SP","Grêmio - RS",1,1,2012
"5",2012-06-14 21:00:00,"São Paulo - SP","Coritiba - PR",1,0,2012
"5",2012-06-20 21:50:00,"Coritiba - PR","São Paulo - SP",2,0,2012
"6",2012-07-05 21:50:00,"Palmeiras - SP","Coritiba - PR",2,0,2012
"6",2012-07-11 21:50:00,"Coritiba - PR","Palmeiras - SP",1,1,2012
"1",2013-02-27 20:00:00,"Atlético - AC","Desportiva Ferroviaria - ES",1,1,2013
"1",2013-03-13 20:30:00,"Desportiva Ferroviaria - ES","Atlético - AC",5,4,2013
"2",2013-04-03 16:00:00,"Resende - RJ","Ser Caxias - RS",2,1,2013
"2",2013-04-18 20:30:00,"Ser Caxias - RS","Resende - RJ",0,0,2013
"2",2013-04-03 16:00:00,"Ceilândia - DF","Ceará - CE",0,0,2013
"2",2013-04-10 22:00:00,"Ceará - CE","Ceilândia - DF",4,3,2013
"2",2013-04-03 16:00:00,"Bangu - RJ","Betim - MG",1,2,2013
"2",2013-04-17 20:30:00,"Betim - MG","Bangu - RJ",1,0,2013
"2",2013-04-03 19:30:00,"Brasil - RS","Atlético Paranaense - PR",0,1,2013
"2",2013-04-17 19:30:00,"Atlético Paranaense - PR","Brasil - RS",2,0,2013
"2",2013-04-03 20:30:00,"Guarani - CE","Santa Cruz - PE",1,2,2013
"2",2013-04-10 20:30:00,"Santa Cruz - PE","Guarani - CE",2,0,2013
"2",2013-04-03 20:30:00,"Veranopolis - RS","Santo André - SP",1,0,2013
"2",2013-04-17 15:00:00,"Santo André - SP","Veranopolis - RS",2,0,2013
"2",2013-04-03 20:30:00,"Cianorte - PR","Grêmio Barueri - SP",2,1,2013
"2",2013-04-17 20:30:00,"Grêmio Barueri - SP","Cianorte - PR",0,3,2013
"2",2013-04-03 20:30:00,"Noroeste - SP","Criciuma - SC",0,0,2013
"2",2013-04-17 20:30:00,"Criciuma - SC","Noroeste - SP",3,0,2013
"2",2013-04-03 21:30:00,"Nacional - AM","Aguia - PA",2,0,2013
"2",2013-04-10 20:30:00,"Aguia - PA","Nacional - AM",1,2,2013
"2",2013-04-03 22:00:00,"Naviraiense - MS","Portuguesa - SP",0,0,2013
"2",2013-04-16 21:50:00,"Portuguesa - SP","Naviraiense - MS",1,1,2013
"2",2013-04-03 22:00:00,"Remo - PA","Flamengo - RJ",0,1,2013
"2",2013-04-17 22:00:00,"Flamengo - RJ","Remo - PA",3,0,2013
"2",2013-04-03 22:00:00,"Vitória da Conquista - BA","Sport - PE",0,1,2013
"2",2013-04-17 22:00:00,"Sport - PE","Vitória da Conquista - BA",2,0,2013
"2",2013-04-03 22:00:00,"Rio Branco - AC","Internacional - RS",0,2,2013
"2",2013-04-04 21:50:00,"Itabaiana - SE","Ponte Preta - SP",0,3,2013
"2",2013-04-10 20:29:00,"Gurupi - TO","América - MG",2,3,2013
"2",2013-04-17 20:30:00,"América - MG","Gurupi - TO",0,0,2013
"2",2013-04-10 20:30:00,"Salgueiro - PE","Boa - MG",2,0,2013
"2",2013-04-17 20:30:00,"Boa - MG","Salgueiro - PE",2,2,2013
"2",2013-04-10 20:30:00,"Arapongas Esporte Clube - PR","São Caetano - SP",1,0,2013
"2",2013-04-17 20:30:00,"São Caetano - SP","Arapongas Esporte Clube - PR",1,0,2013
"2",2013-04-10 20:30:00,"Cametá - PA","Atlético - GO",0,7,2013
"2",2013-04-10 20:30:00,"Aracruz - ES","Joinville - SC",1,1,2013
"2",2013-04-17 20:30:00,"Joinville - SC","Aracruz - ES",1,0,2013
"2",2013-04-10 20:30:00,"Desportiva Ferroviaria - ES","Figueirense - SC",1,4,2013
"2",2013-04-10 20:30:00,"Volta Redonda - RJ","Avaí - SC",1,0,2013
"2",2013-04-24 19:30:00,"Avaí - SC","Volta Redonda - RJ",4,1,2013
"2",2013-04-10 20:30:00,"Campinense - PB","Sampaio Correa - MA",0,1,2013
"2",2013-04-17 20:30:00,"Sampaio Correa - MA","Campinense - PB",0,1,2013
"2",2013-04-10 20:30:00,"Luziania - DF","Fortaleza - CE",0,0,2013
"2",2013-04-17 22:00:00,"Fortaleza - CE","Luziania - DF",0,0,2013
"2",2013-04-10 20:30:00,"Santa Cruz - RN","A.s.a. - AL",0,0,2013
"2",2013-04-25 20:30:00,"A.s.a. - AL","Santa Cruz - RN",2,1,2013
"2",2013-04-10 20:30:00,"Oratorio - AP","Goiás - GO",1,3,2013
"2",2013-04-10 20:30:00,"Confiança - SE","Guarani - SP",1,0,2013
"2",2013-04-17 20:30:00,"Guarani - SP","Confiança - SE",1,0,2013
"2",2013-04-10 20:30:00,"Tupi - MG","Luverdense - MT",1,0,2013
"2",2013-04-17 22:00:00,"Luverdense - MT","Tupi - MG",3,0,2013
"2",2013-04-10 21:00:00,"Ji-paraná - RO","América - RN",0,1,2013
"2",2013-04-25 20:30:00,"América - RN","Ji-paraná - RO",1,0,2013
"2",2013-04-10 21:00:00,"São Raimundo - RR","Paysandu - PA",0,2,2013
"2",2013-04-10 21:30:00,"Fast Clube - AM","C.r.b. - AL",1,1,2013
"2",2013-04-25 20:30:00,"C.r.b. - AL","Fast Clube - AM",2,1,2013
"2",2013-04-10 22:00:00,"C.s.a. - AL","Cruzeiro - MG",0,3,2013
"2",2013-04-10 22:00:00,"C.r.a.c. - GO","Náutico - PE",3,1,2013
"2",2013-04-18 20:30:00,"Náutico - PE","C.r.a.c. - GO",1,1,2013
"2",2013-04-10 22:00:00,"Aguia Negra - MS","Bragantino - SP",0,2,2013
"2",2013-04-10 22:00:00,"Mixto - MT","Vitória - BA",2,1,2013
"2",2013-04-16 19:30:00,"Vitória - BA","Mixto - MT",5,1,2013
"2",2013-04-10 22:00:00,"Flamengo do Piauí - PI","Santos - SP",2,2,2013
"2",2013-04-17 22:00:00,"Santos - SP","Flamengo do Piauí - PI",2,0,2013
"2",2013-04-11 19:30:00,"Maranhão - MA","Bahia - BA",0,2,2013
"2",2013-04-11 20:30:00,"Parnahyba S.c - PI","Abc - RN",1,3,2013
"2",2013-04-11 21:30:00,"Sao Bernardo - SP","Paraná - PR",1,1,2013
"2",2013-04-24 19:30:00,"Paraná - PR","Sao Bernardo - SP",2,3,2013
"2",2013-04-17 19:30:00,"Sobradinho - DF","Botafogo - RJ",0,0,2013
"2",2013-04-24 19:30:00,"Botafogo - RJ","Sobradinho - DF",2,0,2013
"2",2013-05-01 19:30:00,"Souza - PB","Coritiba - PR",0,3,2013
"3",2013-05-01 15:00:00,"Santo André - SP","Goiás - GO",2,3,2013
"3",2013-05-15 19:30:00,"Goiás - GO","Santo André - SP",1,0,2013
"3",2013-05-01 16:00:00,"C.r.a.c. - GO","Betim - MG",3,2,2013
"3",2013-05-15 20:30:00,"Betim - MG","C.r.a.c. - GO",0,1,2013
"3",2013-05-01 16:00:00,"Cianorte - PR","Atlético - GO",1,3,2013
"3",2013-05-01 21:50:00,"Campinense - PB","Flamengo - RJ",1,2,2013
"3",2013-05-15 22:00:00,"Flamengo - RJ","Campinense - PB",2,1,2013
"3",2013-05-01 21:50:00,"A.s.a. - AL","Ceará - CE",3,0,2013
"3",2013-05-08 22:00:00,"Ceará - CE","A.s.a. - AL",3,0,2013
"3",2013-05-01 21:50:00,"Santa Cruz - PE","Internacional - RS",0,0,2013
"3",2013-05-15 22:00:00,"Internacional - RS","Santa Cruz - PE",2,0,2013
"3",2013-05-01 21:50:00,"Resende - RJ","Cruzeiro - MG",1,2,2013
"3",2013-05-22 22:00:00,"Cruzeiro - MG","Resende - RJ",4,0,2013
"3",2013-05-02 19:30:00,"C.r.b. - AL","Botafogo - RJ",0,0,2013
"3",2013-05-22 22:00:00,"Botafogo - RJ","C.r.b. - AL",3,0,2013
"3",2013-05-07 19:30:00,"Sao Bernardo - SP","Criciuma - SC",1,1,2013
"3",2013-05-15 19:30:00,"Criciuma - SC","Sao Bernardo - SP",3,1,2013
"3",2013-05-07 21:50:00,"América - MG","Avaí - SC",0,1,2013
"3",2013-05-16 19:30:00,"Avaí - SC","América - MG",0,3,2013
"3",2013-05-08 19:30:00,"Arapongas Esporte Clube - PR","Figueirense - SC",0,0,2013
"3",2013-05-22 20:30:00,"Figueirense - SC","Arapongas Esporte Clube - PR",3,1,2013
"3",2013-05-08 20:30:00,"Confiança - SE","Fortaleza - CE",1,1,2013
"3",2013-05-23 19:30:00,"Fortaleza - CE","Confiança - SE",4,0,2013
"3",2013-05-08 22:00:00,"Luverdense - MT","Bahia - BA",2,0,2013
"3",2013-05-15 22:00:00,"Bahia - BA","Luverdense - MT",1,0,2013
"3",2013-05-08 22:00:00,"Abc - RN","Sport - PE",2,0,2013
"3",2013-05-21 21:00:00,"Sport - PE","Abc - RN",2,3,2013
"3",2013-05-08 22:00:00,"Joinville - SC","Santos - SP",0,1,2013
"3",2013-05-22 22:00:00,"Santos - SP","Joinville - SC",0,0,2013
"3",2013-05-08 22:00:00,"Naviraiense - MS","Paysandu - PA",0,1,2013
"3",2013-05-15 20:30:00,"Paysandu - PA","Naviraiense - MS",0,2,2013
"3",2013-05-09 19:30:00,"América - RN","Atlético Paranaense - PR",2,6,2013
"3",2013-05-09 21:50:00,"Bragantino - SP","Ponte Preta - SP",1,3,2013
"3",2013-05-15 19:30:00,"Salgueiro - PE","Vitória - BA",0,0,2013
"3",2013-05-22 19:30:00,"Vitória - BA","Salgueiro - PE",1,1,2013
"3",2013-05-15 21:30:00,"Nacional - AM","Coritiba - PR",4,1,2013
"3",2013-05-23 19:30:00,"Coritiba - PR","Nacional - AM",1,0,2013
"4",2013-07-02 19:30:00,"Salgueiro - PE","Criciuma - SC",0,0,2013
"4",2013-07-17 19:30:00,"Criciuma - SC","Salgueiro - PE",1,1,2013
"4",2013-07-03 21:50:00,"Botafogo - RJ","Figueirense - SC",1,0,2013
"4",2013-07-24 21:50:00,"Figueirense - SC","Botafogo - RJ",1,0,2013
"4",2013-07-03 21:50:00,"Goiás - GO","Abc - RN",3,0,2013
"4",2013-07-17 21:50:00,"Abc - RN","Goiás - GO",1,1,2013
"4",2013-07-09 21:50:00,"Cruzeiro - MG","Atlético - GO",5,0,2013
"4",2013-07-17 19:30:00,"Atlético - GO","Cruzeiro - MG",0,1,2013
"4",2013-07-10 19:00:00,"Fortaleza - CE","Luverdense - MT",0,0,2013
"4",2013-07-18 21:50:00,"Luverdense - MT","Fortaleza - CE",2,1,2013
"4",2013-07-10 19:30:00,"Ponte Preta - SP","Nacional - AM",0,1,2013
"4",2013-07-24 21:30:00,"Nacional - AM","Ponte Preta - SP",1,0,2013
"4",2013-07-10 21:50:00,"Santos - SP","C.r.a.c. - GO",1,1,2013
"4",2013-07-24 21:50:00,"C.r.a.c. - GO","Santos - SP",0,2,2013
"4",2013-07-10 21:50:00,"A.s.a. - AL","Flamengo - RJ",0,2,2013
"4",2013-07-17 21:50:00,"Flamengo - RJ","A.s.a. - AL",2,1,2013
"4",2013-07-10 21:50:00,"Internacional - RS","América - MG",3,1,2013
"4",2013-07-17 21:50:00,"América - MG","Internacional - RS",1,1,2013
"4",2013-07-17 19:30:00,"Paysandu - PA","Atlético Paranaense - PR",0,0,2013
"4",2013-07-24 19:30:00,"Atlético Paranaense - PR","Paysandu - PA",2,1,2013
"5",2013-08-20 21:50:00,"Nacional - AM","Vasco da Gama - RJ",0,2,2013
"5",2013-08-29 21:50:00,"Vasco da Gama - RJ","Nacional - AM",2,1,2013
"5",2013-08-21 19:30:00,"Palmeiras - SP","Atlético Paranaense - PR",1,0,2013
"5",2013-08-28 21:50:00,"Atlético Paranaense - PR","Palmeiras - SP",3,0,2013
"5",2013-08-21 19:30:00,"Santos - SP","Grêmio - RS",1,0,2013
"5",2013-08-28 21:50:00,"Grêmio - RS","Santos - SP",2,0,2013
"5",2013-08-21 21:50:00,"Luverdense - MT","Corinthians - SP",1,0,2013
"5",2013-08-28 21:50:00,"Corinthians - SP","Luverdense - MT",2,0,2013
"5",2013-08-21 21:50:00,"Fluminense - RJ","Goiás - GO",1,0,2013
"5",2013-08-28 19:30:00,"Goiás - GO","Fluminense - RJ",2,0,2013
"5",2013-08-21 21:50:00,"Cruzeiro - MG","Flamengo - RJ",2,1,2013
"5",2013-08-28 21:50:00,"Flamengo - RJ","Cruzeiro - MG",1,0,2013
"5",2013-08-22 19:30:00,"Internacional - RS","Salgueiro - PE",3,0,2013
"5",2013-08-29 21:50:00,"Salgueiro - PE","Internacional - RS",2,2,2013
"5",2013-08-22 21:50:00,"Botafogo - RJ","Atlético - MG",4,2,2013
"5",2013-08-28 19:30:00,"Atlético - MG","Botafogo - RJ",2,2,2013
"6",2013-09-25 21:50:00,"Corinthians - SP","Grêmio - RS",0,0,2013
"6",2013-10-23 21:50:00,"Grêmio - RS","Corinthians - SP",0,0,2013
"6",2013-09-25 21:50:00,"Goiás - GO","Vasco da Gama - RJ",2,1,2013
"6",2013-10-24 21:00:00,"Vasco da Gama - RJ","Goiás - GO",3,2,2013
"6",2013-09-25 21:50:00,"Botafogo - RJ","Flamengo - RJ",1,1,2013
"6",2013-10-23 21:50:00,"Flamengo - RJ","Botafogo - RJ",4,0,2013
"6",2013-09-26 21:00:00,"Internacional - RS","Atlético Paranaense - PR",1,1,2013
"6",2013-10-23 21:50:00,"Atlético Paranaense - PR","Internacional - RS",0,0,2013
"7",2013-10-30 21:50:00,"Atlético Paranaense - PR","Grêmio - RS",1,0,2013
"7",2013-11-06 21:50:00,"Grêmio - RS","Atlético Paranaense - PR",0,0,2013
"7",2013-10-30 21:50:00,"Goiás - GO","Flamengo - RJ",1,2,2013
"7",2013-11-06 21:50:00,"Flamengo - RJ","Goiás - GO",2,1,2013
"8",2013-11-20 21:50:00,"Atlético Paranaense - PR","Flamengo - RJ",1,1,2013
"8",2013-11-27 21:50:00,"Flamengo - RJ","Atlético Paranaense - PR",2,0,2013
"1",2014-02-19 20:30:00,"Real Noroeste Capixaba - ES","Rio Branco - AC",1,1,2014
"1",2014-02-26 21:30:00,"Rio Branco - AC","Real Noroeste Capixaba - ES",1,0,2014
"2",2014-03-12 19:30:00,"Vilhena - RO","Palmeiras - SP",0,1,2014
"2",2014-04-02 22:00:00,"Palmeiras - SP","Vilhena - RO",2,0,2014
"2",2014-03-12 20:30:00,"Sergipe - SE","Náutico - PE",1,0,2014
"2",2014-04-09 19:30:00,"Náutico - PE","Sergipe - SE",1,0,2014
"2",2014-03-12 20:30:00,"Goianesia - GO","Grêmio Barueri - SP",2,2,2014
"2",2014-04-09 20:30:00,"Grêmio Barueri - SP","Goianesia - GO",0,0,2014
"2",2014-03-12 20:30:00,"Sao Luiz - RS","Nacional - AM",2,2,2014
"2",2014-04-09 21:30:00,"Nacional - AM","Sao Luiz - RS",2,1,2014
"2",2014-03-12 20:30:00,"Juazeiro - BA","Tupi - MG",0,2,2014
"2",2014-03-12 20:30:00,"Tombense - MG","Treze - PB",1,1,2014
"2",2014-04-09 20:30:00,"Treze - PB","Tombense - MG",2,1,2014
"2",2014-03-12 20:30:00,"Interporto - TO","Sampaio Correa - MA",2,2,2014
"2",2014-04-09 20:30:00,"Sampaio Correa - MA","Interporto - TO",3,1,2014
"2",2014-03-12 20:30:00,"Desportiva - ES","Abc - RN",1,0,2014
"2",2014-04-02 20:30:00,"Abc - RN","Desportiva - ES",4,1,2014
"2",2014-03-12 20:30:00,"Flamengo - PI","Atlético - GO",0,1,2014
"2",2014-04-09 20:30:00,"Atlético - GO","Flamengo - PI",2,2,2014
"2",2014-03-12 21:30:00,"Nautico - RR","Ponte Preta - SP",1,4,2014
"2",2014-03-12 22:00:00,"Remo - PA","Internacional - RS",1,6,2014
"2",2014-03-12 22:00:00,"C.s.a. - AL","São Paulo - SP",0,1,2014
"2",2014-04-09 22:00:00,"São Paulo - SP","C.s.a. - AL",3,0,2014
"2",2014-03-13 21:30:00,"Rondonopolis - MT","C. R. B. - AL",2,2,2014
"2",2014-04-09 20:30:00,"C. R. B. - AL","Rondonopolis - MT",2,0,2014
"2",2014-03-13 21:50:00,"Cene - MS","Coritiba - PR",2,2,2014
"2",2014-04-16 19:30:00,"Coritiba - PR","Cene - MS",2,0,2014
"2",2014-03-19 19:30:00,"Londrina - PR","Criciuma - SC",2,0,2014
"2",2014-04-10 19:30:00,"Criciuma - SC","Londrina - PR",2,1,2014
"2",2014-03-19 19:30:00,"J. Malucelli - PR","Vitória - BA",1,1,2014
"2",2014-04-24 19:30:00,"Vitória - BA","J. Malucelli - PR",1,1,2014
"2",2014-03-19 22:00:00,"Villa Nova - MG","Bahia - BA",1,1,2014
"2",2014-04-30 19:30:00,"Bahia - BA","Villa Nova - MG",2,0,2014
"2",2014-03-19 22:00:00,"Bahia de Feira - BA","Corinthians - SP",0,2,2014
"2",2014-03-20 19:30:00,"Sao Bernardo - SP","Paraná - PR",1,1,2014
"2",2014-04-10 19:30:00,"Paraná - PR","Sao Bernardo - SP",3,1,2014
"2",2014-03-20 21:50:00,"Horizonte - CE","Fluminense - RJ",3,1,2014
"2",2014-04-10 19:30:00,"Fluminense - RJ","Horizonte - CE",5,0,2014
"2",2014-04-02 15:15:00,"Santa Rita - AL","Guarani - SP",0,0,2014
"2",2014-04-09 15:00:00,"Guarani - SP","Santa Rita - AL",1,2,2014
"2",2014-04-02 16:00:00,"Boavista - RJ","América - RN",1,2,2014
"2",2014-04-23 19:30:00,"América - RN","Boavista - RJ",2,0,2014
"2",2014-04-02 19:30:00,"Botafogo - PB","Goiás - GO",2,0,2014
"2",2014-04-16 22:00:00,"Goiás - GO","Botafogo - PB",0,0,2014
"2",2014-04-02 19:30:00,"Potiguar - RN","Portuguesa - SP",1,0,2014
"2",2014-04-09 19:30:00,"Portuguesa - SP","Potiguar - RN",2,1,2014
"2",2014-04-02 20:30:00,"Caldense - MG","Duque de Caxias - RJ",2,0,2014
"2",2014-04-16 20:30:00,"Duque de Caxias - RJ","Caldense - MG",2,2,2014
"2",2014-04-02 20:30:00,"Barbalha - CE","Cuiabá - MT",0,0,2014
"2",2014-04-16 21:30:00,"Cuiabá - MT","Barbalha - CE",2,0,2014
"2",2014-04-02 20:30:00,"Lajeadense - RS","Bragantino - SP",0,0,2014
"2",2014-04-09 20:30:00,"Bragantino - SP","Lajeadense - RS",1,0,2014
"2",2014-04-02 20:30:00,"Santos - AP","América - MG",0,3,2014
"2",2014-04-02 20:30:00,"Maranhão - MA","Paysandu - PA",2,2,2014
"2",2014-04-16 20:30:00,"Paysandu - PA","Maranhão - MA",2,1,2014
